Package Name,Package Type,Custodian,Current Version,Dependencies for Current,Newer Versions,Dependencies for Latest,Latest Version,Suggested Upgrade,Upgrade Instruction,Current Version Vulnerable?,Current Version Vulnerability Details,Upgrade Version Vulnerable?,Upgrade Vulnerability Details
adlfs,Base Package,Unknown,2024.4.1,"azure-core<2.0.0,>=1.28.0; azure-datalake-store<0.1,>=0.0.53; azure-identity; azure-storage-blob>=12.17.0; fsspec>=2023.12.0; aiohttp>=3.7.0; sphinx; extra == ""docs""; myst-parser; extra == ""docs""; furo; extra == ""docs""; numpydoc; extra == ""docs""; pytest; extra == ""tests""; docker; extra == ""tests""; pytest-mock; extra == ""tests""; arrow; extra == ""tests""; dask[dataframe]; extra == ""tests""","2024.7.0, 2024.12.0","azure-core<2.0.0,>=1.28.0; azure-datalake-store<0.1,>=0.0.53; azure-identity; azure-storage-blob>=12.17.0; fsspec>=2023.12.0; aiohttp>=3.7.0; sphinx; extra == ""docs""; myst-parser; extra == ""docs""; furo; extra == ""docs""; numpydoc; extra == ""docs""; pytest; extra == ""tests""; docker; extra == ""tests""; pytest-mock; extra == ""tests""; arrow; extra == ""tests""; dask[dataframe]; extra == ""tests""",2024.12.0,2024.12.0,"{'base_package': 'adlfs==2024.12.0', 'dependencies': ['azure-core==unknown', 'azure-datalake-store==unknown', 'azure-storage-blob==unknown', 'fsspec==unknown', 'aiohttp==unknown']}",No,,No,None
allennlp,Base Package,Unknown,2.10.1,"torch (<1.13.0,>=1.10.0); torchvision (<0.14.0,>=0.8.1); cached-path (<1.2.0,>=1.1.3); fairscale (==0.4.6); nltk (>=3.6.5); spacy (<3.4,>=2.1.0); numpy (>=1.21.4); tensorboardX (>=1.2); requests (>=2.28); tqdm (>=4.62); h5py (>=3.6.0); scikit-learn (>=1.0.1); scipy (>=1.7.3); pytest (>=6.2.5); transformers (<4.21,>=4.1); sentencepiece (>=0.1.96); filelock (<3.8,>=3.3); lmdb (>=1.2.1); more-itertools (>=8.12.0); termcolor (==1.1.0); wandb (<0.13.0,>=0.10.0); huggingface-hub (>=0.0.16); dill (>=0.3.4); base58 (>=2.1.1); sacremoses; typer (>=0.4.1); protobuf (<4.0.0,>=3.12.0); traitlets (>5.1.1); dataclasses ; python_version < ""3.7""; jsonnet (>=0.10.0) ; sys_platform != ""win32""; checklist (==0.0.11) ; extra == 'all'; checklist (==0.0.11) ; extra == 'checklist'; flake8 (>=4.0.1) ; extra == 'dev'; mypy (==0.961) ; extra == 'dev'; black (==22.6.0) ; extra == 'dev'; pytest-cov (>=3.0.0) ; extra == 'dev'; coverage[toml] (>=6.4) ; extra == 'dev'; codecov (>=2.1.12) ; extra == 'dev'; matplotlib (>=2.2.3) ; extra == 'dev'; responses (>=0.21) ; extra == 'dev'; flaky (>=3.7.0) ; extra == 'dev'; pytest-benchmark (>=3.4.1) ; extra == 'dev'; ruamel.yaml (>=0.17.17) ; extra == 'dev'; pydoc-markdown (<4.4.0) ; extra == 'dev'; databind.core (<=1.5.3) ; extra == 'dev'; databind-json (<=1.5.3) ; extra == 'dev'; docspec (<1.2.0,>1.0.1) ; extra == 'dev'; docspec-python (<1.2.0,>1.0.1) ; extra == 'dev'; mkdocs (==1.3.0) ; extra == 'dev'; mkdocs-material (<8.4.0,>=5.5.0) ; extra == 'dev'; markdown-include (==0.6.0) ; extra == 'dev'; pymdown-extensions (>=9.5) ; extra == 'dev'; twine (<5.0.0,>=1.11.0) ; extra == 'dev'; setuptools ; extra == 'dev'; wheel ; extra == 'dev'",,"torch (<1.13.0,>=1.10.0); torchvision (<0.14.0,>=0.8.1); cached-path (<1.2.0,>=1.1.3); fairscale (==0.4.6); nltk (>=3.6.5); spacy (<3.4,>=2.1.0); numpy (>=1.21.4); tensorboardX (>=1.2); requests (>=2.28); tqdm (>=4.62); h5py (>=3.6.0); scikit-learn (>=1.0.1); scipy (>=1.7.3); pytest (>=6.2.5); transformers (<4.21,>=4.1); sentencepiece (>=0.1.96); filelock (<3.8,>=3.3); lmdb (>=1.2.1); more-itertools (>=8.12.0); termcolor (==1.1.0); wandb (<0.13.0,>=0.10.0); huggingface-hub (>=0.0.16); dill (>=0.3.4); base58 (>=2.1.1); sacremoses; typer (>=0.4.1); protobuf (<4.0.0,>=3.12.0); traitlets (>5.1.1); dataclasses ; python_version < ""3.7""; jsonnet (>=0.10.0) ; sys_platform != ""win32""; checklist (==0.0.11) ; extra == 'all'; checklist (==0.0.11) ; extra == 'checklist'; flake8 (>=4.0.1) ; extra == 'dev'; mypy (==0.961) ; extra == 'dev'; black (==22.6.0) ; extra == 'dev'; pytest-cov (>=3.0.0) ; extra == 'dev'; coverage[toml] (>=6.4) ; extra == 'dev'; codecov (>=2.1.12) ; extra == 'dev'; matplotlib (>=2.2.3) ; extra == 'dev'; responses (>=0.21) ; extra == 'dev'; flaky (>=3.7.0) ; extra == 'dev'; pytest-benchmark (>=3.4.1) ; extra == 'dev'; ruamel.yaml (>=0.17.17) ; extra == 'dev'; pydoc-markdown (<4.4.0) ; extra == 'dev'; databind.core (<=1.5.3) ; extra == 'dev'; databind-json (<=1.5.3) ; extra == 'dev'; docspec (<1.2.0,>1.0.1) ; extra == 'dev'; docspec-python (<1.2.0,>1.0.1) ; extra == 'dev'; mkdocs (==1.3.0) ; extra == 'dev'; mkdocs-material (<8.4.0,>=5.5.0) ; extra == 'dev'; markdown-include (==0.6.0) ; extra == 'dev'; pymdown-extensions (>=9.5) ; extra == 'dev'; twine (<5.0.0,>=1.11.0) ; extra == 'dev'; setuptools ; extra == 'dev'; wheel ; extra == 'dev'",2.10.1,2.10.1,"{'base_package': 'allennlp==2.10.1', 'dependencies': ['torch==unknown', 'torchvision==unknown', 'cached-path==unknown', 'fairscale==unknown', 'nltk==unknown', 'spacy==unknown', 'numpy==unknown', 'tensorboardX==unknown', 'requests==unknown', 'tqdm==unknown', 'h5py==unknown', 'scikit-learn==unknown', 'scipy==unknown', 'pytest==unknown', 'transformers==unknown', 'sentencepiece==unknown', 'filelock==unknown', 'lmdb==unknown', 'more-itertools==unknown', 'termcolor==unknown', 'wandb==unknown', 'huggingface-hub==unknown', 'dill==unknown', 'base58==unknown', 'typer==unknown', 'protobuf==unknown', 'traitlets==unknown', 'jsonnet==unknown', 'checklist==unknown', 'flake8==unknown', 'mypy==unknown', 'black==unknown', 'pytest-cov==unknown', 'coverage==unknown', 'codecov==unknown', 'matplotlib==unknown', 'responses==unknown', 'flaky==unknown', 'pytest-benchmark==unknown', 'ruamel.yaml==unknown', 'docspec==unknown', 'docspec-python==unknown', 'mkdocs==unknown', 'mkdocs-material==unknown', 'markdown-include==unknown', 'pymdown-extensions==unknown', 'twine==unknown']}",No,,No,None
absl-py,Dependency Package,Unknown,2.1.0,,"2.2.0, 2.2.1, 2.2.2",,2.2.2,2.2.2,"{'base_package': 'absl-py==2.2.2', 'dependencies': []}",No,,No,None
adal,Dependency Package,Unknown,1.2.7,"PyJWT (<3,>=1.0.0); requests (<3,>=2.0.0); python-dateutil (<3,>=2.1.0); cryptography (>=1.1.0)",,"PyJWT (<3,>=1.0.0); requests (<3,>=2.0.0); python-dateutil (<3,>=2.1.0); cryptography (>=1.1.0)",1.2.7,1.2.7,"{'base_package': 'adal==1.2.7', 'dependencies': ['PyJWT==unknown', 'requests==unknown', 'python-dateutil==unknown', 'cryptography==unknown']}",No,,No,None
aiofiles,Dependency Package,Unknown,24.1.0,,,,24.1.0,24.1.0,"{'base_package': 'aiofiles==24.1.0', 'dependencies': []}",No,,No,None
aiohappyeyeballs,Dependency Package,Unknown,2.4.6,,"2.4.7, 2.4.8, 2.5.0, 2.6.0, 2.6.1",,2.6.1,2.6.1,"{'base_package': 'aiohappyeyeballs==2.6.1', 'dependencies': []}",No,,No,None
aiohttp,Dependency Package,Unknown,3.11.13,"aiohappyeyeballs>=2.3.0; aiosignal>=1.1.2; async-timeout<6.0,>=4.0; python_version < ""3.11""; attrs>=17.3.0; frozenlist>=1.1.1; multidict<7.0,>=4.5; propcache>=0.2.0; yarl<2.0,>=1.17.0; aiodns>=3.2.0; (sys_platform == ""linux"" or sys_platform == ""darwin"") and extra == ""speedups""; Brotli; platform_python_implementation == ""CPython"" and extra == ""speedups""; brotlicffi; platform_python_implementation != ""CPython"" and extra == ""speedups""","3.11.14, 3.11.15, 3.11.16, 3.11.17, 3.11.18, 4.0.0a0, 4.0.0a1","aiohappyeyeballs>=2.3.0; aiosignal>=1.1.2; async-timeout<6.0,>=4.0; python_version < ""3.11""; attrs>=17.3.0; frozenlist>=1.1.1; multidict<7.0,>=4.5; propcache>=0.2.0; yarl<2.0,>=1.17.0; aiodns>=3.2.0; (sys_platform == ""linux"" or sys_platform == ""darwin"") and extra == ""speedups""; Brotli; platform_python_implementation == ""CPython"" and extra == ""speedups""; brotlicffi; platform_python_implementation != ""CPython"" and extra == ""speedups""",4.0.0a1,3.11.18,"{'base_package': 'aiohttp==3.11.18', 'dependencies': ['aiohappyeyeballs==unknown', 'aiosignal==unknown', 'async-timeout==unknown', 'attrs==unknown', 'frozenlist==unknown', 'multidict==unknown', 'propcache==unknown', 'yarl==unknown', 'aiodns==unknown']}",No,,No,None
aiosignal,Dependency Package,Unknown,1.3.2,frozenlist>=1.1.0,,frozenlist>=1.1.0,1.3.2,1.3.2,"{'base_package': 'aiosignal==1.3.2', 'dependencies': ['frozenlist==unknown']}",No,,No,None
alembic,Dependency Package,Unknown,1.13.3,"SQLAlchemy>=1.4.0; Mako; typing-extensions>=4.12; tzdata; extra == ""tz""","1.14.0, 1.14.1, 1.15.0, 1.15.1, 1.15.2","SQLAlchemy>=1.4.0; Mako; typing-extensions>=4.12; tzdata; extra == ""tz""",1.15.2,1.15.2,"{'base_package': 'alembic==1.15.2', 'dependencies': ['SQLAlchemy==unknown', 'typing-extensions==unknown']}",No,,No,None
altair,Dependency Package,Unknown,5.4.1,"jinja2; jsonschema>=3.0; narwhals>=1.14.2; packaging; typing-extensions>=4.10.0; python_version < ""3.14""; altair-tiles>=0.3.0; extra == ""all""; anywidget>=0.9.0; extra == ""all""; numpy; extra == ""all""; pandas>=1.1.3; extra == ""all""; pyarrow>=11; extra == ""all""; vega-datasets>=0.9.0; extra == ""all""; vegafusion[embed]>=1.6.6; extra == ""all""; vl-convert-python>=1.7.0; extra == ""all""; duckdb>=1.0; extra == ""dev""; geopandas; extra == ""dev""; hatch>=1.13.0; extra == ""dev""; ipython[kernel]; extra == ""dev""; mistune; extra == ""dev""; mypy; extra == ""dev""; pandas-stubs; extra == ""dev""; pandas>=1.1.3; extra == ""dev""; polars>=0.20.3; extra == ""dev""; pyarrow-stubs; extra == ""dev""; pytest; extra == ""dev""; pytest-cov; extra == ""dev""; pytest-xdist[psutil]~=3.5; extra == ""dev""; ruff>=0.6.0; extra == ""dev""; types-jsonschema; extra == ""dev""; types-setuptools; extra == ""dev""; docutils; extra == ""doc""; jinja2; extra == ""doc""; myst-parser; extra == ""doc""; numpydoc; extra == ""doc""; pillow<10,>=9; extra == ""doc""; pydata-sphinx-theme>=0.14.1; extra == ""doc""; scipy; extra == ""doc""; sphinx; extra == ""doc""; sphinx-copybutton; extra == ""doc""; sphinx-design; extra == ""doc""; sphinxext-altair; extra == ""doc""; vl-convert-python>=1.7.0; extra == ""save""",5.5.0,"jinja2; jsonschema>=3.0; narwhals>=1.14.2; packaging; typing-extensions>=4.10.0; python_version < ""3.14""; altair-tiles>=0.3.0; extra == ""all""; anywidget>=0.9.0; extra == ""all""; numpy; extra == ""all""; pandas>=1.1.3; extra == ""all""; pyarrow>=11; extra == ""all""; vega-datasets>=0.9.0; extra == ""all""; vegafusion[embed]>=1.6.6; extra == ""all""; vl-convert-python>=1.7.0; extra == ""all""; duckdb>=1.0; extra == ""dev""; geopandas; extra == ""dev""; hatch>=1.13.0; extra == ""dev""; ipython[kernel]; extra == ""dev""; mistune; extra == ""dev""; mypy; extra == ""dev""; pandas-stubs; extra == ""dev""; pandas>=1.1.3; extra == ""dev""; polars>=0.20.3; extra == ""dev""; pyarrow-stubs; extra == ""dev""; pytest; extra == ""dev""; pytest-cov; extra == ""dev""; pytest-xdist[psutil]~=3.5; extra == ""dev""; ruff>=0.6.0; extra == ""dev""; types-jsonschema; extra == ""dev""; types-setuptools; extra == ""dev""; docutils; extra == ""doc""; jinja2; extra == ""doc""; myst-parser; extra == ""doc""; numpydoc; extra == ""doc""; pillow<10,>=9; extra == ""doc""; pydata-sphinx-theme>=0.14.1; extra == ""doc""; scipy; extra == ""doc""; sphinx; extra == ""doc""; sphinx-copybutton; extra == ""doc""; sphinx-design; extra == ""doc""; sphinxext-altair; extra == ""doc""; vl-convert-python>=1.7.0; extra == ""save""",5.5.0,5.5.0,"{'base_package': 'altair==5.5.0', 'dependencies': ['jsonschema==unknown', 'narwhals==unknown', 'typing-extensions==unknown', 'altair-tiles==unknown', 'anywidget==unknown', 'pandas==unknown', 'pyarrow==unknown', 'vega-datasets==unknown', 'vegafusion==unknown', 'vl-convert-python==unknown', 'duckdb==unknown', 'hatch==unknown', 'polars==unknown', 'pytest-xdist==unknown', 'ruff==unknown', 'pillow==unknown', 'pydata-sphinx-theme==unknown']}",No,,No,None
